"ID задачи","Проект","Теги","Заголовок","Заявитель","Создана","Обновлена","Завершенная","Приоритет","Тип","Состояние","Часов","Спринт","Описание","Голоса"
"BARTER-2","Бартер","Звезда","Настройка CI/CD","admin","28 нояб. 2025 11:14","29 нояб. 2025 06:01",,"Критическая","Задание","Открыта","6","Базовая архитектура/Авторизация",,"0"
"BARTER-12","Бартер","Звезда","Реализация crud-профиля","admin","28 нояб. 2025 11:43","29 нояб. 2025 06:00",,"Неотложная","Задание","Открыта","3","Профиль/портфолио",,"0"
"BARTER-47","Бартер","Звезда","Фильтр стоп-слов при создании объявлений","admin","28 нояб. 2025 15:12","29 нояб. 2025 05:59",,"Критическая","Задание","Открыта","8","Обратная связь/модерация объявлений",,"0"
"BARTER-54","Бартер","Звезда","Реализация crud-тикетов для техподдержки","admin","28 нояб. 2025 15:22","29 нояб. 2025 05:59",,"Критическая","Задание","Открыта","4","Администрирование системы",,"0"
"BARTER-1","Бартер","Звезда","Создание проетка + настройка базовой архитектуры","admin","28 нояб. 2025 11:13","29 нояб. 2025 05:59",,"Серьезная","Задание","Открыта","6","Базовая архитектура/Авторизация",,"0"
"BARTER-3","Бартер","Звезда","Проектирование схемы БД","admin","28 нояб. 2025 11:14","29 нояб. 2025 05:59",,"Критическая","Задание","Открыта","6","Базовая архитектура/Авторизация",,"0"
"BARTER-55","Бартер","Звезда","Отклик на тикет техподержки с созданием чата для дальнейшего обсуждения проблемы","admin","28 нояб. 2025 15:23","28 нояб. 2025 15:23",,"Неотложная","Задание","Открыта","8","Администрирование системы",,"0"
"BARTER-50","Бартер","Звезда","Управление пользователями","admin","28 нояб. 2025 15:18","28 нояб. 2025 15:21",,"Неотложная","Задание","Открыта","8","Администрирование системы",,"0"
"BARTER-52","Бартер","Звезда","Блокировка/разблокировка пользователей","admin","28 нояб. 2025 15:20","29 нояб. 2025 05:59",,"Неотложная","Задание","Открыта","3","Администрирование системы",,"0"
"BARTER-53","Бартер","Звезда","Назначение / отзыв ролей","admin","28 нояб. 2025 15:21","28 нояб. 2025 15:21",,"Неотложная","Задание","Открыта","4","Администрирование системы",,"0"
